year,fiscal_side,momentti_tunnusp,momentti_snimi,hallinnonala,actual_eur,has_structural_guardrail,structural_relation_types,source_rows,observed_months,data_as_of,is_complete_year,coverage_status
2007,expense,26.98.65.,Euroopan aluekehitysrahaston valtion rahoitusosuus ohjelmakaudella 2007-2013,Kauppa- ja teollisuusministeriön hallinnonala,1034695,false,,8,12,2007-12-01,true,complete
2007,expense,27.01.21.,Puolustusministeriön toimintamenot,Puolustusministeriön hallinnonala,13326944.15,false,,709,12,2007-12-01,true,complete
2007,expense,27.01.29.,Puolustusministeriön hallinnonalan arvonlisäveromenot,Puolustusministeriön hallinnonala,233384748.95,true,rename|rename|rename|rename,176,12,2007-12-01,true,complete
2007,expense,27.10.16.,Puolustusmateriaalihankinnat,Puolustusministeriön hallinnonala,565217889.8,false,,1868,12,2007-12-01,true,complete
2007,expense,27.10.17.,Hornet 413 -koneen korjaus,Puolustusministeriön hallinnonala,9374610.59,false,,34,12,2007-12-01,true,complete
2007,expense,27.10.18.,Hawk Mk 66 -koneiden hankinta,Puolustusministeriön hallinnonala,9000000,false,,4,12,2007-12-01,true,complete
2007,expense,27.10.21.,Puolustusvoimien toimintamenot,Oikeusministeriön hallinnonala,1357398053.83,false,,2339,12,2007-12-01,true,complete
2007,expense,27.10.50.,Maanpuolustusjärjestöjen toiminnan tukeminen,Puolustusministeriön hallinnonala,1810000,false,,4,12,2007-12-01,true,complete
2007,expense,27.30.21.,Puolustusvoimien Kansainvälisen Keskuksen kotimaan toimintamenot,Puolustusministeriön hallinnonala,3638231.4,false,,385,12,2007-12-01,true,complete
2007,expense,27.30.22.,Rauhanturvaamistoiminnan kalusto- ja hallintomenot,Puolustusministeriön hallinnonala,63045131.15,true,rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename,3090,12,2007-12-01,true,complete
2007,expense,27.30.95.,Kurssivaihtelut,Puolustusministeriön hallinnonala,9179.67,false,,5,12,2007-12-01,true,complete
2007,expense,28.01.21.,Valtiovarainministeriön toimintamenot,Ulkoministeriön hallinnonala,30946639.22,false,,811,12,2007-12-01,true,complete
2007,expense,28.01.22.,Valtioneuvoston tietohallintoyksikön toimintamenot,Valtiovarainministeriön hallinnonala,7492437.31,false,,319,12,2007-12-01,true,complete
2007,expense,28.01.29.,Valtiovarainministeriön hallinnonalan arvonlisäveromenot,Kauppa- ja teollisuusministeriön hallinnonala,48218201.63,true,rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename|rename,503,12,2007-12-01,true,complete
2007,expense,28.01.62.,EU:n rakennerahastojen valtion rahoitusosuus valtiovarainministeriön osalta,Valtiovarainministeriön hallinnonala,195784.29,false,,12,12,2007-12-01,true,complete
2007,expense,28.01.73.,"Talous-, henkilöstö- ja tietohallinnon kehittäminen",Valtiovarainministeriön hallinnonala,11967949.04,false,,11,12,2007-12-01,true,complete
2007,expense,28.01.89.,Osakkeiden myyntijärjestelyt ja hankinnat,Valtioneuvosto,86302676.8,false,,54,12,2007-12-01,true,complete
2007,expense,28.03.21.,Valtion taloudellisen tutkimuskeskuksen toimintamenot,Valtiovarainministeriön hallinnonala,3794451.78,false,,488,12,2007-12-01,true,complete
2007,expense,28.05.21.,Valtiokonttorin toimintamenot,Valtiovarainministeriön hallinnonala,19059068.79,false,,859,12,2007-12-01,true,complete
2007,expense,28.05.23.,Palvelukeskuksen toimintamenot,Valtiovarainministeriön hallinnonala,597139.58,false,,53,12,2007-12-01,true,complete
2007,expense,28.07.05.,"Vakinaiset eläkkeet, perhe-eläkkeet sekä kuntoutustuet",Valtiovarainministeriön hallinnonala,3185460053,true,moved|moved|moved|moved|moved|moved,97,12,2007-12-01,true,complete
2007,expense,28.07.06.,Ylimääräiset eläkkeet,Valtiovarainministeriön hallinnonala,19268036.68,true,moved|moved|moved|moved,29,12,2007-12-01,true,complete
2007,expense,28.07.07.,Muut eläkemenot,Valtiovarainministeriön hallinnonala,22721986.17,true,moved|moved|moved|moved|moved|moved|moved,53,12,2007-12-01,true,complete
2007,expense,28.07.50.,Tapaturmakorvaukset ja muut vahingonkorvaukset,Valtiovarainministeriön hallinnonala,39100491.19,true,moved|moved|moved|moved|moved|moved|moved,123,12,2007-12-01,true,complete
2007,expense,28.07.63.,Muiden eläkelaitosten vastattavaksi kuuluvat eläkemenot,Valtiovarainministeriön hallinnonala,32934253.24,true,moved,14,12,2007-12-01,true,complete
