metric_id,metric_name_fi,theme,year,value,unit,status,is_latest_available,source_id,source_url,source_updated
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2022,344.31,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2023,354.39,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2024,362.12,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2025,368.19,PER_100K,,true,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
preventable_mortality_per_100k,Ennaltaehkäisyllä vältettävissä oleva kuolleisuus,outcome,2011,188.04,PER_100K,,false,eurostat_hlth_cd_apr,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_apr?geo=FI&sex=T&unit=RT&icd10=TOTAL&mortalit=PRVT,2026-03-17T23:00:00+0100
preventable_mortality_per_100k,Ennaltaehkäisyllä vältettävissä oleva kuolleisuus,outcome,2012,182.95,PER_100K,,false,eurostat_hlth_cd_apr,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_apr?geo=FI&sex=T&unit=RT&icd10=TOTAL&mortalit=PRVT,2026-03-17T23:00:00+0100
preventable_mortality_per_100k,Ennaltaehkäisyllä vältettävissä oleva kuolleisuus,outcome,2013,179.28,PER_100K,,false,eurostat_hlth_cd_apr,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_apr?geo=FI&sex=T&unit=RT&icd10=TOTAL&mortalit=PRVT,2026-03-17T23:00:00+0100
preventable_mortality_per_100k,Ennaltaehkäisyllä vältettävissä oleva kuolleisuus,outcome,2014,168.87,PER_100K,,false,eurostat_hlth_cd_apr,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_apr?geo=FI&sex=T&unit=RT&icd10=TOTAL&mortalit=PRVT,2026-03-17T23:00:00+0100
preventable_mortality_per_100k,Ennaltaehkäisyllä vältettävissä oleva kuolleisuus,outcome,2015,163.26,PER_100K,,false,eurostat_hlth_cd_apr,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_apr?geo=FI&sex=T&unit=RT&icd10=TOTAL&mortalit=PRVT,2026-03-17T23:00:00+0100
preventable_mortality_per_100k,Ennaltaehkäisyllä vältettävissä oleva kuolleisuus,outcome,2016,166.01,PER_100K,,false,eurostat_hlth_cd_apr,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_apr?geo=FI&sex=T&unit=RT&icd10=TOTAL&mortalit=PRVT,2026-03-17T23:00:00+0100
